genotype,run_no,plate_no,well_no,file_column,alphabetic_code,no_plateaus,no_mono_violations,curve_rsquared_fd,curve_rsquared_gp,final_gap_logod,plat_threshold,plat_duration,plat_distance,plat_atol,plat_rtol,tran_threshold,tran_duration,tran_distance,tran_atol,tran_rtol,curve_rsquared_logod,OD_sat,OD_sat_std
YAL068C,1,A,1,1,PTTP,2.000000000e+00,0.000000000e+00,9.966841985e-01,9.973079512e-01,-2.154904663e-02,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.974977073e-01,4.411751000e+00,0.000000000e+00
YAL067C,1,A,2,2,PTTP,2.000000000e+00,0.000000000e+00,9.962481831e-01,9.971146492e-01,-9.251058412e-03,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.988478586e-01,4.515896000e+00,0.000000000e+00
YAL066W,1,A,3,3,PTP,2.000000000e+00,0.000000000e+00,9.838951148e-01,9.839844338e-01,-9.845372652e-02,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.551836719e-01,4.555623333e+00,5.413138112e-03
YAL065C,1,A,4,4,PTTP,2.000000000e+00,0.000000000e+00,9.974284471e-01,9.977237993e-01,-9.375006085e-03,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.993782068e-01,4.493868000e+00,4.674412690e-03
BY4741,1,A,5,5,PTTP,2.000000000e+00,0.000000000e+00,9.961886936e-01,9.972060150e-01,-1.524017971e-02,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.986063850e-01,4.387150000e+00,0.000000000e+00
YAL062W,1,A,6,6,PTP,2.000000000e+00,0.000000000e+00,9.815773483e-01,9.834139063e-01,-1.838519162e-01,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,8.956235661e-01,4.566359000e+00,0.000000000e+00
YAL061W,1,A,7,7,PTTP,2.000000000e+00,0.000000000e+00,9.961362841e-01,9.970722579e-01,-1.643822977e-02,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.984980740e-01,4.481776000e+00,0.000000000e+00
YAL060W,1,A,8,8,PTTP,2.000000000e+00,0.000000000e+00,9.969115965e-01,9.974053962e-01,-3.716195671e-03,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.993205114e-01,4.399042000e+00,3.810928846e-03
YAL059W,1,A,9,9,PTP,2.000000000e+00,0.000000000e+00,9.833385242e-01,9.865103153e-01,-5.676826754e-02,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.502729973e-01,3.519900000e+00,0.000000000e+00
YAL058W,1,A,10,10,PTP,2.000000000e+00,0.000000000e+00,9.853123677e-01,9.868785981e-01,-1.246088843e-01,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.702717257e-01,3.483949000e+00,4.440892099e-16
YAL056W,1,A,11,11,PTTP,2.000000000e+00,0.000000000e+00,9.961719993e-01,9.972215730e-01,-2.268307751e-02,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.981214123e-01,4.200115000e+00,6.373023824e-03
YAL055W,1,A,12,12,PTTP,2.000000000e+00,0.000000000e+00,9.968977444e-01,9.977116563e-01,-1.084372958e-02,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.991854827e-01,4.378204000e+00,0.000000000e+00
YAL053W,1,A,13,13,PTTP,2.000000000e+00,0.000000000e+00,9.940063225e-01,9.979360893e-01,-2.200828687e-02,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.995102141e-01,4.798237333e+00,3.764589363e-02
YAL051W,1,A,14,14,PTP,2.000000000e+00,0.000000000e+00,9.750800174e-01,9.818582498e-01,-2.413154067e-01,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,8.360577119e-01,5.457253000e+00,8.881784197e-16
YAL049C,1,A,15,15,PTTP,2.000000000e+00,0.000000000e+00,9.972737412e-01,9.976861788e-01,-1.065017904e-03,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.994299789e-01,4.612560000e+00,0.000000000e+00
YAL048C,1,A,16,16,PTTP,2.000000000e+00,0.000000000e+00,9.970248745e-01,9.975274734e-01,5.498046503e-02,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.979014628e-01,4.552545000e+00,0.000000000e+00
YAL046C,1,A,17,17,PTP,2.000000000e+00,0.000000000e+00,9.822904700e-01,9.838160303e-01,-8.983797706e-02,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.568216371e-01,4.690356000e+00,5.526746602e-03
YAL045C,1,A,18,18,PTP,2.000000000e+00,0.000000000e+00,9.787489614e-01,9.797527044e-01,-1.180030867e-01,2.000000000e-06,5.000000000e+02,4.000000000e+02,1.000000000e-03,2.500000000e-01,1.000000000e-08,1.000000000e+02,2.000000000e+02,1.000000000e-05,3.000000000e-01,9.216313175e-01,4.906015667e+00,4.579694919e-03
